Rappers,Songs,BPM
Akala,Another Reason,80
Akala,Dead Wrong Freestyle,BOOKMARKED
Akala,Who’s the Gangsta?,BOOKMARKED
Akala,God?,141
Akala,Sun Tzu,140
Akon,Celebrity (Remix),BOOKMARKED
Akon,Lonely,90
Akon,Interstellar,85
Akon,Gringo,BOOKMARKED
Akon,I Am Not My Hair,98
Akon,Warrior,BOOKMARKED
Akon,Clap Again,BOOKMARKED
Akon,Sexy Chick,130
Akon,Good Girls Lie,120
Akon,Cashin Out (Remix),129
Akon,Live By The Gun,178
Akon,That’s Right,87
Akon,Mirrors,BOOKMARKED
Big L,5 Fingers of Death,92
Big L,Show And Prove (Big L 1998 Freestyle instrumental),BOOKMARKED
Big L,Who You Slidin’ Wit’,94
Big L,Flamboyant,94
Big L,DollarBill,BOOKMARKED
Big L,Let ’Em Have It “L”,91
Big L,560 Tape Freestyle,BOOKMARKED
Big L,Harlem Nights,86
Big L,Zone of Danger,86
Big L,Hit It,BOOKMARKED
Big L,Danger Zone (instrumental),BOOKMARKED
Big L,Dignified Soldiers,93
Big L,Tim westwood freestyle,93
Big L,Perfect Day,BOOKMARKED
Big L,Once Again,94
Big Pun,Hot 97 freestyle,BOOKMARKED
Big Pun,Get Your Grind On,77
Big Pun,Glamour Life,187
Big L,Harlem Nights,86
Big Pun,My Dick,187
Big Pun,I’ll Be Around,91
Big Pun,My World,83
Big Pun,Is it You? (Deja Vu) - Remix,BOOKMARKED
Big Pun,Taster’s Choice (Skit),93
Big Pun,Nigga Shit,93
Big Pun,We Could Do It,94
Big Pun,Who Is a Thug,BOOKMARKED
Big Pun,Make the Crowd Roar,BOOKMARKED
Big Pun,Capital Punishment,BOOKMARKED
Big Pun,As You Already Know,93
Big Pun,Western Ways Part 2 (La Seleccion),BOOKMARKED
Big Pun,You Ain’t a Killer,91
Big Pun,I Hit It First,BOOKMARKED
Big Pun,Livin’ La Vida Loca (Trackmasters Remix),BOOKMARKED
Big Pun,It’s So Hard,93
Big Pun,You Came Up,90
Big Pun,Resurrection,BOOKMARKED
Big Pun,Rhyme for Rhyme,BOOKMARKED
Big Pun,Triple Threat,BOOKMARKED
Big Pun,Firewater,BOOKMARKED
Big Pun,Watcha gon do?,96
Big Pun,Classic Verses (Drop it Heavy and Fantastic 4),BOOKMARKED
Big Pun,How We Roll,90
Big Pun,Pass the Glock,90
Big Pun,Beware,90
Big Pun,No Mercy,90
Big Pun,Best Behavior,BOOKMARKED
Big Pun,Uncensored,92
Big Pun,Legendary Cypher,BOOKMARKED
Big Pun,Must Be the Music,106
Big Pun,Oh No (Remix),BOOKMARKED
Big Pun,John Blaze,91
Big Pun,The Dream Shatterer,91
Big Pun,You Was Wrong,91
Big Pun,Cross Bronx Expressway,91
Big Pun,We Don’t Care,91
Big Pun,Off the Books,91
Big Pun,Gettin’ Jiggy Wit It (Remix),91
Big Pun,Piña Colada,91
Big Pun,Bet Ya Man Can’t (Triz),100
Big Pun,Flowers For The Dead,BOOKMARKED
Big Pun,Fast Money,94
Big Pun,Brave in the Heart,96
Big Pun,Leather Face,BOOKMARKED
